Name	Quality	Category	Resin	Wax	Ochre	Rune	Wood	Regulus	Bast	Pelt	Patch	Mat Sum
Khajiit Bottle, Amber	Fine	Hearth		4.0							Homestead	4.0
Khajiit Brazier, Claw	Superior	Lighting	7.0			8.0		12.0			Homestead	27.0
Khajiit Brazier, Enchanted	Epic	Workshop	7.0			13.0		10.0			Homestead	30.0
Khajiit Brazier, Hanging	Epic	Lighting		8.0		8.0		12.0			Homestead	28.0
Khajiit Candle-Filled Lamp	Epic	Lighting		8.0		8.0		12.0			Homestead	28.0
Khajiit Candle, Clawfoot	Superior	Lighting				6.0		9.0			Homestead	15.0
Khajiit Candles, Clawfoot	Epic	Lighting		8.0		8.0		12.0			Homestead	28.0
Khajiit Carafe, Amber	Superior	Hearth	4.0	6.0		5.0					Homestead	15.0
Khajiit Carpet, Crescent Moons	Fine	Parlor	3.0						6.0		Homestead	9.0
Khajiit Carpet, Sun	Superior	Parlor	6.0			5.0			8.0		Homestead	19.0
Khajiit Couch, Padded	Epic	Parlor	8.0				8.0		12.0		Homestead	28.0
Khajiit Counter, Faded	Epic	Dining	7.0				11.0	8.0			Homestead	26.0
Khajiit Counter, Long Cabinet	Superior	Dining	7.0				12.0	8.0			Homestead	27.0
Khajiit Curtains, Moons	Superior	Parlor	6.0				7.0		10.0		Homestead	23.0
Khajiit Cushion, Long	Superior	Suite	6.0	6.0					9.0		Homestead	21.0
Khajiit Cushion, Single	Superior	Suite	7.0			7.0			11.0		Homestead	25.0
Khajiit Decanter, Amber	Superior	Hearth	4.0	6.0		5.0					Homestead	15.0
Khajiit Desk, Faded	Fine	Library	4.0				7.0	3.0			Homestead	14.0
Khajiit Divider, Folding	Epic	Suite					9.0	8.0	13.0		Homestead	30.0
Khajiit Drapes, Grand	Epic	Parlor					9.0	8.0	13.0		Homestead	30.0
Khajiit Drapes, Tattered	Fine	Parlor					4.0	3.0	7.0		Homestead	14.0
Khajiit Dresser, Faded	Fine	Library					7.0				Homestead	7.0
Khajiit End Table, Faded	Fine	Parlor					5.0				Homestead	5.0
Khajiit Firepit, Brick	Fine	Lighting				6.0					Homestead	6.0
Khajiit Flask, Amber	Fine	Hearth		4.0							Homestead	4.0
Khajiit Footlocker, Arched	Epic	Suite				8.0	9.0	13.0			Homestead	30.0
Khajiit Frame, Arched	Fine	Courtyard					6.0				Homestead	6.0
Khajiit Jug, Amber	Superior	Hearth	5.0	6.0		4.0					Homestead	15.0
Khajiit Lantern, Hanging	Superior	Lighting	5.0			5.0		7.0			Homestead	17.0
Khajiit Loft, Reed	Fine	Structures					4.0		7.0		Homestead	11.0
Khajiit Nightstand, Gilded	Superior	Suite	5.0				8.0	6.0			Homestead	19.0
Khajiit Pillow, Crescents	Epic	Suite	8.0			8.0			12.0		Homestead	28.0
Khajiit Pillow, Roll	Epic	Suite	8.0			8.0			12.0		Homestead	28.0
Khajiit Pitcher, Amber	Superior	Hearth	4.0	6.0		5.0					Homestead	15.0
Khajiit Rug, Moons	Epic	Parlor	8.0			8.0			12.0		Homestead	28.0
Khajiit Rug, Sun	Epic	Parlor	8.0			8.0			12.0		Homestead	28.0
Khajiit Sconce, Spiked	Epic	Lighting		8.0		8.0		12.0			Homestead	28.0
Khajiit Sigil, Moon Cycle	Legendary	Undercroft	13.0	9.0	9.0	15.0					Harrowstorm	46.0
Khajiit Signpost, Fortified	Fine	Courtyard					6.0	3.0			Homestead	9.0
Khajiit Skooma Bubbler	Epic	Parlor		9.0		6.0		7.0			Homestead	22.0
Khajiit Sofa, Padded	Epic	Parlor					10.0	8.0	14.0		Homestead	32.0
Khajiit Stool, Crescent	Fine	Workshop							5.0		Homestead	5.0
Khajiit Table, Formal	Superior	Dining					9.0				Homestead	9.0
Khajiit Table, Round	Epic	Parlor				7.0	11.0	8.0			Homestead	26.0
Khajiit Tent, Mercantile	Superior	Structures					11.0		7.0		Homestead	18.0
Khajiit Tent, Storage	Superior	Structures					12.0	7.0	8.0		Homestead	27.0
Khajiit Tent, Vacation	Epic	Structures					14.0	9.0	9.0		Homestead	32.0
Khajiit Trunk, Arched	Superior	Suite	6.0				10.0	7.0			Homestead	23.0
Khajiit Urn, Amber	Epic	Undercroft		8.0		6.0		6.0			Homestead	20.0
Khajiit Vase, Amber	Fine	Hearth		4.0							Homestead	4.0
Khajiit Vessel, Amber	Epic	Parlor		8.0		6.0		6.0			Homestead	20.0
Khajiit Vial, Amber	Epic	Hearth		8.0		6.0		6.0			Homestead	20.0
Khajiit Wagon, Reed	Superior	Courtyard					13.0	8.0	8.0		Homestead	29.0
Khajiit Wardrobe, Arched	Epic	Suite				8.0	12.0		8.0		Homestead	28.0
Lantern, Hanging	Superior	Lighting	6.0			5.0		9.0			Homestead	20.0
Lantern, Stationary	Superior	Lighting	6.0			5.0		9.0			Homestead	20.0
Lettuce, Display	Fine	Hearth		3.0							Homestead	3.0
Leyawiin Alcove, Castle	Superior	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Amphora, Elegant	Epic	Hearth	7.0			13.0		10.0			Blackwood	30.0
Leyawiin Archway, Garden	Superior	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Armchair, Backless	Superior	Dining	6.0				9.0				Blackwood	15.0
Leyawiin Armchair, Cushioned	Epic	Dining	7.0				13.0		10.0		Blackwood	30.0
Leyawiin Banner, Abstract	Fine	Parlor	4.0						5.0		Blackwood	9.0
Leyawiin Basket, Hamper Tall	Superior	Hearth					6.0		9.0		Blackwood	15.0
Leyawiin Basket, Hamper Wide	Superior	Hearth					6.0		9.0		Blackwood	15.0
Leyawiin Basket, Open	Fine	Hearth							5.0		Blackwood	5.0
Leyawiin Bed, Formal Double	Epic	Suite	7.0				10.0		13.0		Blackwood	30.0
Leyawiin Bed, Formal Single	Epic	Suite	7.0				10.0		13.0		Blackwood	30.0
Leyawiin Bed, Sturdy Single	Superior	Suite					6.0		9.0		Blackwood	15.0
Leyawiin Bench, Cushioned	Epic	Dining	7.0				13.0		10.0		Blackwood	30.0
Leyawiin Bench, Cushioned Wide	Epic	Dining	7.0				13.0		10.0		Blackwood	30.0
Leyawiin Bench, Formal Wide	Superior	Dining	6.0				9.0				Blackwood	15.0
Leyawiin Bench, Sturdy	Fine	Dining	4.0				5.0				Blackwood	9.0
Leyawiin Bookcase, Grand Filled	Epic	Library			6.0		13.0			10.0	Blackwood	29.0
Leyawiin Bookcase, Narrow	Superior	Library	6.0				9.0				Blackwood	15.0
Leyawiin Bookcase, Narrow Filled	Epic	Library	9.0				13.0			7.0	Blackwood	29.0
Leyawiin Bookcase, Short	Superior	Library	6.0				9.0				Blackwood	15.0
Leyawiin Bookcase, Tall	Superior	Library	6.0				9.0				Blackwood	15.0
Leyawiin Bookcase, Tall Filled	Epic	Library	9.0				13.0			7.0	Blackwood	29.0
Leyawiin Bowl, Lobster Stew	Superior	Hearth		7.0				6.0			Blackwood	13.0
Leyawiin Bowl, Squid Special	Legendary	Hearth	13.0	11.0	8.0						Waking Flame	32.0
Leyawiin Brazier, Copper	Epic	Lighting				10.0	7.0	13.0			Blackwood	30.0
Leyawiin Brazier, Iron	Superior	Lighting				6.0		9.0			Blackwood	15.0
Leyawiin Brazier, Short Iron Serpent	Superior	Lighting				6.0		9.0			Blackwood	15.0
Leyawiin Brazier, Tall Copper Serpent	Epic	Lighting				10.0	7.0	13.0			Blackwood	30.0
Leyawiin Wardrobe, Formal	Epic	Hearth	9.0		6.0		13.0				Blackwood	28.0
Leyawiin Cabinet, Sturdy	Superior	Hearth					9.0	6.0			Blackwood	15.0
Leyawiin Canopy, Merchant	Fine	Structures							5.0		Blackwood	5.0
Leyawiin Carpet, Grand Carmine Octad	Epic	Parlor	9.0			7.0			13.0		Blackwood	29.0
Leyawiin Carpet, Large Carmine Octad	Superior	Parlor	6.0						9.0		Blackwood	15.0
Leyawiin Carpet, Large Misty Octad	Superior	Parlor	6.0						9.0		Blackwood	15.0
Leyawiin Carpet, Misty Octad	Fine	Parlor	4.0						5.0		Blackwood	9.0
Leyawiin Censer, Iron Stand	Epic	Undercroft			6.0		10.0	13.0			Blackwood	29.0
Leyawiin Censer, Serpents	Epic	Undercroft			6.0		10.0	13.0			Blackwood	29.0
Leyawiin Chair, Slatted	Fine	Dining					5.0				Blackwood	5.0
Leyawiin Chandelier, Brass	Epic	Lighting				10.0	7.0	13.0			Blackwood	30.0
Leyawiin Chandelier, Grand Brass	Epic	Lighting				10.0	7.0	13.0			Blackwood	30.0
Leyawiin Chandelier, Twin Lanterns	Superior	Lighting				5.0	5.0	10.0			Blackwood	20.0
Leyawiin Clothesline, Pulleys	Superior	Hearth						6.0	9.0		Blackwood	15.0
Leyawiin Column, Castle	Superior	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Corncobs, Triple	Fine	Hearth		4.0							Blackwood	4.0
Leyawiin Counter, Corner	Superior	Dining					9.0	6.0			Blackwood	15.0
Leyawiin Counter, Long	Superior	Dining					9.0	6.0			Blackwood	15.0
Leyawiin Counter, Wide Merchant	Epic	Dining				7.0	13.0	10.0			Blackwood	30.0
Leyawiin Cupboard, Formal	Epic	Hearth	9.0		6.0		13.0				Blackwood	28.0
Leyawiin Cupboard, Formal Display	Epic	Hearth	9.0		6.0		13.0				Blackwood	28.0
Leyawiin Cupboard, Sturdy	Superior	Hearth					9.0	6.0			Blackwood	15.0
Leyawiin Desk, Formal	Epic	Library	9.0		6.0		13.0				Blackwood	28.0
Leyawiin Divider, Carved Starfish	Legendary	Suite		9.0	10.0		15.0	13.0			Waking Flame	47.0
Leyawiin Divider, Octopus	Epic	Suite	7.0		7.0		13.0				Blackwood	27.0
Leyawiin Divider, Sturdy	Fine	Suite					5.0				Blackwood	5.0
Leyawiin Door, Castle	Epic	Structures			6.0		13.0	10.0			Waking Flame	29.0
Leyawiin Door, Wooden	Superior	Structures					9.0	6.0			Waking Flame	15.0
Leyawiin Doorway, Wooden Frame	Superior	Structures					9.0	6.0			Waking Flame	15.0
Leyawiin End Table, Formal Round	Superior	Dining	6.0				9.0				Blackwood	15.0
Leyawiin Firepit, Stone	Superior	Lighting				9.0	6.0				Blackwood	15.0
Leyawiin Gate, Wooden Garden	Superior	Structures					9.0	6.0			Waking Flame	15.0
Leyawiin Gravy Boat, Silver	Superior	Hearth		7.0				6.0			Blackwood	13.0
Leyawiin Hand Mirror, Lacquered	Superior	Suite			6.0			6.0			Blackwood	12.0
Leyawiin Hand Mirror, Silver	Epic	Suite	7.0		9.0			10.0			Blackwood	26.0
Leyawiin Hearth, Carved Wood	Legendary	Structures		10.0		15.0	10.0	10.0			Waking Flame	45.0
Leyawiin Hearth, Masonry	Epic	Structures			6.0	13.0		10.0			Waking Flame	29.0
Leyawiin Jewelry Box, Gilded	Epic	Parlor			9.0	10.0	7.0				Blackwood	26.0
Leyawiin Jewelry Box, Iron Octopus	Epic	Parlor			9.0	10.0		7.0			Blackwood	26.0
Leyawiin Kylix, Silver	Superior	Hearth		7.0				6.0			Blackwood	13.0
Leyawiin Lamp, Oil	Epic	Lighting			6.0	10.0		13.0			Blackwood	29.0
Leyawiin Lamp, Oil Double	Epic	Lighting			6.0	10.0		13.0			Blackwood	29.0
Leyawiin Lamp, Stationary	Superior	Lighting				6.0		9.0			Blackwood	15.0
Leyawiin Lamppost, Floral Gilded	Epic	Lighting				7.0	10.0	13.0			Blackwood	30.0
Leyawiin Lantern, Stationary	Fine	Lighting						5.0			Blackwood	5.0
Leyawiin Laundry, Stack	Superior	Hearth	6.0						9.0		Blackwood	15.0
Leyawiin Lettuce, Leaf	Fine	Hearth		4.0							Blackwood	4.0
Leyawiin Lightpost, Ornate	Legendary	Lighting			15.0	13.0	11.0	10.0			Waking Flame	49.0
Leyawiin Meal, Clams	Superior	Hearth		7.0			6.0				Blackwood	13.0
Leyawiin Meal, Lobster	Superior	Hearth		7.0			6.0				Blackwood	13.0
Leyawiin Meal, Octopus	Superior	Hearth		7.0				6.0			Blackwood	13.0
Leyawiin Meal, Squid	Superior	Hearth		7.0				6.0			Blackwood	13.0
Leyawiin Meal, Vegetables	Superior	Hearth		7.0				6.0			Blackwood	13.0
Leyawiin Merchant Stall, Portable	Epic	Courtyard				7.0	13.0	10.0			Blackwood	30.0
Leyawiin Mug, Milk	Superior	Hearth		7.0				6.0			Blackwood	13.0
Leyawiin Nightstand, Formal	Superior	Suite	6.0				9.0				Blackwood	15.0
Leyawiin Nightstand, Sturdy	Fine	Suite					5.0				Blackwood	5.0
Leyawiin Ox Cart, Sturdy	Superior	Courtyard					9.0	6.0			Blackwood	15.0
Leyawiin Pie, Octopus	Epic	Hearth	7.0	10.0				10.0			Blackwood	27.0
Leyawiin Pitcher, Cracked	Fine	Hearth				5.0					Blackwood	5.0
Leyawiin Pitcher, Elegant	Epic	Hearth	7.0			13.0		10.0			Blackwood	30.0
Leyawiin Plate, Set	Fine	Hearth					5.0				Blackwood	5.0
Leyawiin Plate, Utensils	Fine	Hearth					5.0				Blackwood	5.0
Leyawiin Plates, Stack	Superior	Hearth	6.0				9.0				Blackwood	15.0
Leyawiin Platform, Huge Square	Superior	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Platform, Large Square	Superior	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Platform, Narrow Steps	Superior	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Platform, Wide Steps	Fine	Structures				5.0					Waking Flame	5.0
Leyawiin Platter, Seafood	Superior	Hearth		7.0			6.0				Blackwood	13.0
Leyawiin Post, Stone Garden	Fine	Structures				5.0					Waking Flame	5.0
Leyawiin Pot, Domed	Fine	Hearth				5.0					Blackwood	5.0
Leyawiin Pot, Waves	Superior	Hearth	6.0			9.0					Blackwood	15.0
Leyawiin Pot, Wide	Fine	Hearth				5.0					Blackwood	5.0
Leyawiin Potted Plant, Aspen Sapling	Superior	Conservatory	6.0			9.0					Blackwood	15.0
Leyawiin Rug, Carmine Octad	Superior	Parlor	6.0						9.0		Blackwood	15.0
Leyawiin Sconce, Gilded Lantern	Epic	Lighting				7.0	10.0	13.0			Blackwood	30.0
Leyawiin Sconce, Lantern	Superior	Lighting					9.0	6.0			Blackwood	15.0
Leyawiin Serving Pot, Lobster Stew	Epic	Hearth	7.0	10.0				10.0			Blackwood	27.0
Leyawiin Stairway, Wooden	Superior	Structures					9.0	6.0			Waking Flame	15.0
Leyawiin Streetlight, Carved Waves	Superior	Lighting	6.0				9.0				Blackwood	15.0
Leyawiin Table, Formal	Superior	Dining	6.0				9.0				Blackwood	15.0
Leyawiin Table, Formal Grand	Epic	Dining	9.0		6.0		13.0				Blackwood	28.0
Leyawiin Table, Formal Square Low	Superior	Dining	6.0				9.0				Blackwood	15.0
Leyawiin Table, Sturdy Grand	Superior	Dining	6.0				9.0				Blackwood	15.0
Leyawiin Table, Sturdy Round	Fine	Dining					5.0				Blackwood	5.0
Leyawiin Table, Sturdy Square	Fine	Dining					5.0				Blackwood	5.0
Leyawiin Tapestry, Fleet	Epic	Parlor	9.0				7.0		13.0		Blackwood	29.0
Leyawiin Tapestry, Floral	Epic	Parlor	9.0				7.0		13.0		Blackwood	29.0
Leyawiin Tapestry, Hunting Party	Legendary	Parlor		10.0			15.0		15.0		Waking Flame	40.0
Leyawiin Tapestry, Lone Vessel	Superior	Parlor	6.0						9.0		Blackwood	15.0
Leyawiin Tapestry, Twin Vessels	Superior	Parlor	6.0						9.0		Blackwood	15.0
Leyawiin Teacup, Full	Fine	Hearth		4.0							Blackwood	4.0
Leyawiin Tomatoes, Vine	Fine	Hearth		4.0							Blackwood	4.0
Leyawiin Trunk, Carved Octad	Superior	Suite	6.0				9.0				Blackwood	15.0
Leyawiin Trunk, Floral Gilded	Epic	Suite	9.0		6.0		13.0				Blackwood	28.0
Leyawiin Trunk, Ornate	Epic	Suite	9.0		6.0		13.0				Blackwood	28.0
Leyawiin Turret, Castle	Epic	Structures				7.0	13.0	10.0			Waking Flame	30.0
Leyawiin Vase, Table	Fine	Hearth				5.0					Blackwood	5.0
Leyawiin Wagon, Covered	Epic	Courtyard					13.0	10.0	7.0		Blackwood	30.0
Leyawiin Wall Mirror, Lacquered Frame	Superior	Suite					6.0	9.0			Blackwood	15.0
Leyawiin Wall Mirror, Silver	Epic	Suite			7.0		7.0	13.0			Blackwood	27.0
Leyawiin Wall Shelf, Carved	Superior	Library	6.0				9.0				Blackwood	15.0
Leyawiin Wall, Castle Door Arch	Epic	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Wall, Curved Garden	Fine	Structures				5.0					Waking Flame	5.0
Leyawiin Wall, Straight Garden	Fine	Structures				5.0					Waking Flame	5.0
Leyawiin Wall, Wainscoted	Epic	Structures		6.0			13.0	10.0			Waking Flame	29.0
Leyawiin Wall, Windowed Castle	Epic	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Wall, Wooden Half	Superior	Structures					9.0	6.0			Waking Flame	15.0
Leyawiin Well, Covered	Epic	Courtyard				13.0	10.0	7.0			Blackwood	30.0
Mages Apparatus, Master	Legendary	Workshop	13.0	11.0				15.0			Morrowind / Clockwork	39.0
Mammoth Cheese, Mastercrafted	Legendary	Hearth	11.0	11.0			11.0			13.0	Morrowind / Clockwork	46.0
Markarth Archway, Stone	Superior	Courtyard				9.0		6.0			Flames of Ambition	15.0
Markarth Door, Double	Epic	Structures			7.0	7.0		13.0			Flames of Ambition	27.0
Markarth Fireplace, Stone	Epic	Structures			6.0	13.0		10.0			Flames of Ambition	29.0
Markarth Floor, Circular	Superior	Structures			5.0	9.0					Flames of Ambition	14.0
Markarth Floor, Large Oval	Epic	Structures			7.0	13.0		7.0			Flames of Ambition	27.0
Markarth Floor, Large Rectangle	Epic	Structures			7.0	13.0		7.0			Flames of Ambition	27.0
Markarth Floor, Large Square	Epic	Structures			7.0	13.0		7.0			Flames of Ambition	27.0
Markarth Floor, Square	Superior	Structures			5.0	9.0					Flames of Ambition	14.0
Markarth Pillar, Stone	Superior	Courtyard				9.0		6.0			Flames of Ambition	15.0
Markarth Platform, Bordered Square	Epic	Structures			6.0	13.0		10.0			Flames of Ambition	29.0
Markarth Platform, Circular	Fine	Structures				5.0					Flames of Ambition	5.0
Markarth Platform, Square	Superior	Structures				9.0		6.0			Flames of Ambition	15.0
Markarth Post, Stone Wall	Fine	Courtyard				5.0					Flames of Ambition	5.0
Markarth Stairway, Narrow Stone	Fine	Structures				5.0					Flames of Ambition	5.0
Markarth Stairway, Wide Stone	Superior	Structures				9.0		6.0			Flames of Ambition	15.0
Markarth Tower, Stone	Epic	Structures			6.0	13.0		10.0			Flames of Ambition	29.0
Markarth Walkway, Metal Trim	Epic	Structures			6.0	13.0		10.0			Flames of Ambition	29.0
Markarth Walkway, Stone	Fine	Structures				5.0					Flames of Ambition	5.0
Markarth Wall, Wide Stone	Fine	Structures				5.0					Flames of Ambition	5.0
Markarth Wall, Windowed Stone	Superior	Structures				9.0		6.0			Flames of Ambition	15.0
Melon, Wax	Fine	Hearth		4.0							Murkmire	4.0
Miniature Garden, Bottled	Legendary	Hearth		11.0		15.0		13.0			Dragon Bones	39.0
Mortar and Pestle	Legendary	Hearth		11.0		15.0		13.0			Homestead	39.0
Murkmire Bed, Carved	Superior	Suite					9.0		6.0		Murkmire	15.0
Murkmire Bed, Enclosed	Superior	Suite	6.0			9.0					Murkmire	15.0
Murkmire Bench, Armless	Fine	Dining				5.0					Murkmire	5.0
Murkmire Bench, Wide	Superior	Dining	6.0			8.0					Murkmire	14.0
Murkmire Berry Strand	Fine	Hearth		4.0							Murkmire	4.0
Murkmire Bonding Chimes, Domed	Epic	Courtyard	9.0	6.0			12.0				Murkmire	27.0
Murkmire Bonding Chimes, Simple	Superior	Courtyard	5.0	5.0			10.0				Murkmire	20.0
Murkmire Bookshelf	Superior	Library	5.0			9.0	5.0				Murkmire	19.0
Murkmire Bookshelf, Full	Superior	Library	5.0			10.0			5.0		Murkmire	20.0
Murkmire Bookshelf, Grand	Epic	Library	8.0			12.0	7.0				Murkmire	27.0
Murkmire Bookshelf, Grand Full	Epic	Library	9.0			13.0			7.0		Murkmire	29.0
Murkmire Brazier, Bowl	Superior	Lighting	6.0					9.0			Murkmire	15.0
Murkmire Brazier, Engraved	Superior	Lighting	6.0			8.0					Murkmire	14.0
Murkmire Brazier, Shell	Fine	Lighting	5.0	4.0							Murkmire	9.0
Murkmire Candle, Bone Squat	Fine	Lighting		4.0			4.0				Murkmire	8.0
Murkmire Candle, Bone Tall	Fine	Lighting		4.0			4.0				Murkmire	8.0
Murkmire Candlepost, Driftwood	Epic	Lighting		10.0	6.0		9.0				Murkmire	25.0
Murkmire Candlepost, Timber	Superior	Lighting		7.0			6.0				Murkmire	13.0
Murkmire Candles, Bone Group	Superior	Lighting		7.0			6.0				Murkmire	13.0
Murkmire Chair, Engraved	Fine	Dining	4.0			5.0					Murkmire	9.0
Murkmire Chair, Woven	Superior	Dining					9.0		6.0		Murkmire	15.0
Murkmire Counter, Cabinet	Superior	Dining					9.0		6.0		Murkmire	15.0
Murkmire Counter, Low Cabinet	Fine	Dining					5.0				Murkmire	5.0
Murkmire Desk, Engraved	Fine	Library	4.0			5.0					Murkmire	9.0
Murkmire Gate, Arched	Epic	Structures		6.0		10.0	13.0				Murkmire	29.0
Murkmire Hearth Shrine, Sithis Coiled	Superior	Undercroft			5.0	9.0					Murkmire	14.0
Murkmire Hearth Shrine, Sithis Looming	Superior	Undercroft			5.0	9.0					Murkmire	14.0
Murkmire Hearth Shrine, Sithis Rearing	Superior	Undercroft			5.0	9.0					Murkmire	14.0
Murkmire Lamp, Hanging Bottle	Superior	Lighting	8.0	5.0							Murkmire	13.0
Murkmire Lamp, Hanging Conch	Superior	Lighting	9.0	5.0	4.0						Murkmire	18.0
Murkmire Candle, Standing Shell	Superior	Lighting	8.0	5.0							Murkmire	13.0
Murkmire Lantern, Covered	Superior	Lighting	9.0	5.0			5.0				Murkmire	19.0
Murkmire Pedestal, Low	Fine	Undercroft				5.0					Murkmire	5.0
Murkmire Pedestal, Winged	Superior	Undercroft	6.0			9.0					Murkmire	15.0
Murkmire Plate, Charger	Fine	Hearth					5.0				Murkmire	5.0
Murkmire Platform, Reed	Epic	Structures	7.0				12.0		9.0		Murkmire	28.0
Murkmire Platform, Sectioned	Superior	Structures	6.0			9.0					Murkmire	15.0
Murkmire Pot, Handmade	Fine	Hearth		4.0							Murkmire	4.0
Murkmire Pot, Large Carved	Superior	Hearth		7.0		6.0					Murkmire	13.0
Murkmire Ramp, Marshwood	Superior	Structures					9.0		6.0		Murkmire	15.0
Murkmire Ramp, Reed	Superior	Structures					9.0		6.0		Murkmire	15.0
Murkmire Rug, Crawling Serpents	Fine	Parlor							5.0		Murkmire	5.0
Murkmire Rug, Hist Gathering	Superior	Parlor	6.0						9.0		Murkmire	15.0
Murkmire Rug, Lurking Lizard	Fine	Parlor							5.0		Murkmire	5.0
Murkmire Rug, Supine Turtle	Superior	Parlor		5.0					9.0		Murkmire	14.0
Murkmire Sarcophagus, Empty	Epic	Undercroft	9.0		6.0	13.0					Murkmire	28.0
Murkmire Sarcophagus, Lid	Epic	Undercroft	9.0		6.0	13.0					Murkmire	28.0
Murkmire Sconce, Shell	Superior	Lighting	9.0	5.0	4.0						Murkmire	18.0
Murkmire Shelf, Reed	Fine	Library					5.0				Murkmire	5.0
Murkmire Shelf, Woven Hanging	Epic	Library	7.0				13.0		10.0		Murkmire	30.0
Murkmire Shelves, Woven	Superior	Library					9.0		6.0		Murkmire	15.0
Murkmire Shrine, Sithis Coiled	Epic	Undercroft		6.0	7.0	13.0					Murkmire	26.0
Murkmire Shrine, Sithis Figure	Epic	Undercroft		6.0	7.0	13.0					Murkmire	26.0
Murkmire Shrine, Sithis Rearing	Epic	Undercroft		6.0	7.0	13.0					Murkmire	26.0
Murkmire Shrine, Sithis Relief	Epic	Undercroft		6.0	7.0	13.0					Murkmire	26.0
Murkmire Table, Engraved	Superior	Dining	6.0			9.0					Murkmire	15.0
Murkmire Table, Woven	Superior	Dining	5.0				10.0		5.0		Murkmire	20.0
Murkmire Tapestry, Hist Gathering	Superior	Parlor	6.0						9.0		Murkmire	15.0
Murkmire Tapestry, Xanmeer	Fine	Parlor		4.0					5.0		Murkmire	9.0
Murkmire Totem Post, Carved	Superior	Courtyard		5.0		5.0	10.0				Murkmire	20.0
Murkmire Totem, Beacon	Epic	Structures	9.0		6.0	13.0					Murkmire	28.0
Murkmire Totem, Wolf-Lizard	Superior	Courtyard		5.0		5.0	10.0				Murkmire	20.0
Murkmire Trunk, Leatherbound	Epic	Suite					12.0	7.0		9.0	Murkmire	28.0
Murkmire Walkway, Reed	Fine	Structures					5.0		4.0		Murkmire	9.0
Murkmire Wall, Corner Curve	Superior	Structures		5.0		5.0	10.0				Murkmire	20.0
Murkmire Wall, Stone	Superior	Structures		5.0		9.0					Murkmire	14.0
Murkmire Wall, Straight	Superior	Structures		5.0		5.0	10.0				Murkmire	20.0
Murkmire Wardrobe, Woven	Superior	Suite					9.0		6.0		Murkmire	15.0
Noble Standing Cauldron	Epic	Hearth	8.0	10.0				8.0			Homestead	26.0
Nord Amphora, Glazed	Superior	Hearth		7.0		5.0	5.0				Homestead	17.0
Nord Armoire, Lattice	Superior	Suite				5.0	9.0	5.0			Homestead	19.0
Nord Banner, Knotwork	Epic	Parlor	8.0			8.0			12.0		Homestead	28.0
Nord Bed, Canopy	Epic	Suite				7.0	13.0		10.0		Homestead	30.0
Nord Bed, Single	Fine	Suite					7.0		4.0		Homestead	11.0
Nord Bed, Sleigh	Superior	Suite					9.0	6.0	6.0		Homestead	21.0
Nord Bench, Braced	Fine	Dining					5.0				Homestead	5.0
Nord Bench, Plank	Superior	Dining	5.0				8.0				Homestead	13.0
Nord Bookcase, Alcove	Epic	Library				8.0	10.0	6.0			Homestead	24.0
Nord Bookshelf, Alcove	Superior	Library	5.0			6.0	10.0				Homestead	21.0
Nord Brazier, Hanging	Epic	Lighting	8.0			8.0		12.0			Homestead	28.0
Nord Candle, Antler	Epic	Lighting		6.0		6.0		10.0			Homestead	22.0
Nord Candle, Tealight	Fine	Lighting		4.0		4.0		7.0			Homestead	15.0
Nord Candleholder, Cup	Fine	Lighting		4.0		4.0		7.0			Homestead	15.0
Nord Cart, Cargo	Superior	Courtyard					9.0	6.0			Homestead	15.0
Nord Cart, Covered	Epic	Courtyard					11.0	7.0	8.0		Homestead	26.0
Nord Cart, Hay	Fine	Courtyard		3.0			6.0				Homestead	9.0
Nord Cauldron, Glazed	Superior	Hearth		7.0		5.0		5.0			Homestead	17.0
Nord Chair, Braced	Superior	Dining					8.0				Homestead	8.0
Nord Chair, Lattice	Epic	Dining	8.0			7.0	11.0				Homestead	26.0
Nord Chandelier, Antler	Epic	Lighting		6.0		10.0		12.0			Homestead	28.0
Nord Chest, Latched	Epic	Suite				9.0	8.0	13.0			Homestead	30.0
Nord Counter, Cabinet	Epic	Dining	7.0				10.0	7.0			Homestead	24.0
Nord Counter, Corner	Epic	Dining	7.0				10.0	7.0			Homestead	24.0
Nord Counter, Long	Superior	Dining	5.0	5.0			8.0				Homestead	18.0
Nord Crockpot, Carrot Soup	Superior	Hearth		7.0			5.0	5.0			Homestead	17.0
Nord Crockpot, Covered	Superior	Hearth		6.0			6.0	9.0			Homestead	21.0
Nord Desk, Tied	Epic	Library	8.0			8.0	12.0				Homestead	28.0
Nord Divider, Folding	Epic	Suite	8.0				11.0	7.0			Homestead	26.0
Nord Dresser, Braced	Superior	Suite	5.0				8.0	6.0			Homestead	19.0
Nord Dresser, Rough	Fine	Suite					6.0	3.0			Homestead	9.0
Nord Drinking Horn, Empty	Superior	Hearth					9.0	6.0			Homestead	15.0
Nord Footlocker, Braced	Superior	Suite	6.0				9.0	5.0			Homestead	20.0
